Time,Seconds,fm_ds,fm_us,gravity_ds,gravity_us
01/01/2022 01:18:00,                4620,     4.81698,     4.81843,     4.81698,     4.81843
01/01/2022 01:19:00,                4680,     4.84033,     4.84178,     4.84033,     4.84178
01/01/2022 01:20:00,                4740,     4.86368,     4.86512,     4.86368,     4.86512
01/01/2022 01:21:00,                4800,     4.88703,     4.88846,     4.88703,     4.88846
01/01/2022 01:22:00,                4860,     4.91038,     4.91181,     4.91038,     4.91181
01/01/2022 01:23:00,                4920,     4.93373,     4.93515,     4.93373,     4.93515
01/01/2022 01:24:00,                4980,     4.95708,     4.95850,     4.95708,     4.95850
01/01/2022 01:25:00,                5040,     4.98043,     4.98184,     4.98043,     4.98184
01/01/2022 01:26:00,                5100,     5.00378,     5.00518,     5.00378,     5.00518
01/01/2022 01:27:00,                5160,     5.02713,     5.02853,     5.02713,     5.02853
01/01/2022 01:28:00,                5220,     5.05048,     5.05187,     5.05048,     5.05187
01/01/2022 01:29:00,                5280,     5.07380,     5.07521,     5.07381,     5.07521
01/01/2022 01:30:00,                5340,     5.09715,     5.09856,     5.09715,     5.09856
01/01/2022 01:31:00,                5400,     5.12049,     5.12190,     5.12050,     5.12190
01/01/2022 01:32:00,                5460,     5.14384,     5.14524,     5.14384,     5.14524
01/01/2022 01:33:00,                5520,     5.16719,     5.16858,     5.16719,     5.16858
01/01/2022 01:34:00,                5580,     5.19054,     5.19193,     5.19054,     5.19193
01/01/2022 01:35:00,                5640,     5.21388,     5.21527,     5.21389,     5.21527
01/01/2022 01:36:00,                5700,     5.23723,     5.23861,     5.23723,     5.23861
01/01/2022 01:37:00,                5760,     5.26058,     5.26196,     5.26058,     5.26196
01/01/2022 01:38:00,                5820,     5.28393,     5.28530,     5.28393,     5.28530
01/01/2022 01:39:00,                5880,     5.30727,     5.30864,     5.30728,     5.30864
01/01/2022 01:40:00,                5940,     5.33062,     5.33198,     5.33062,     5.33198
01/01/2022 01:41:00,                6000,     5.35397,     5.35533,     5.35397,     5.35533
01/01/2022 01:42:00,                6060,     5.37732,     5.37867,     5.37732,     5.37867
01/01/2022 01:43:00,                6120,     5.40066,     5.40201,     5.40067,     5.40201
01/01/2022 01:44:00,                6180,     5.42401,     5.42535,     5.42401,     5.42535
01/01/2022 01:45:00,                6240,     5.44736,     5.44870,     5.44736,     5.44870
01/01/2022 01:46:00,                6300,     5.47070,     5.47204,     5.47071,     5.47204
01/01/2022 01:47:00,                6360,     5.49405,     5.49538,     5.49406,     5.49538
01/01/2022 01:48:00,                6420,     5.51740,     5.51872,     5.51741,     5.51872
01/01/2022 01:49:00,                6480,     5.54075,     5.54207,     5.54075,     5.54207
01/01/2022 01:50:00,                6540,     5.56410,     5.56541,     5.56410,     5.56541
01/01/2022 01:51:00,                6600,     5.58744,     5.58875,     5.58745,     5.58875
01/01/2022 01:52:00,                6660,     5.61079,     5.61209,     5.61079,     5.61209
01/01/2022 01:53:00,                6720,     5.63414,     5.63544,     5.63414,     5.63544
01/01/2022 01:54:00,                6780,     5.65748,     5.65878,     5.65749,     5.65878
01/01/2022 01:55:00,                6840,     5.68083,     5.68212,     5.68084,     5.68212
01/01/2022 01:56:00,                6900,     5.70418,     5.70546,     5.70418,     5.70546
01/01/2022 01:57:00,                6960,     5.72753,     5.72881,     5.72753,     5.72881
01/01/2022 01:58:00,                7020,     5.75087,     5.75215,     5.75088,     5.75215
01/01/2022 01:59:00,                7080,     5.77422,     5.77549,     5.77423,     5.77549
01/01/2022 02:00:00,                7140,     5.79757,     5.79883,     5.79758,     5.79883
01/01/2022 02:01:00,                7200,     5.82092,     5.82218,     5.82092,     5.82218
01/01/2022 02:02:00,                7260,     5.84427,     5.84552,     5.84427,     5.84552
01/01/2022 02:03:00,                7320,     5.86761,     5.86886,     5.86762,     5.86886
01/01/2022 02:04:00,                7380,     5.89096,     5.89220,     5.89097,     5.89220
01/01/2022 02:05:00,                7440,     5.91431,     5.91555,     5.91431,     5.91555
01/01/2022 02:06:00,                7500,     5.93766,     5.93889,     5.93766,     5.93889
01/01/2022 02:07:00,                7560,     5.96100,     5.96223,     5.96101,     5.96223
01/01/2022 02:08:00,                7620,     5.98435,     5.98557,     5.98436,     5.98557
01/01/2022 02:09:00,                7680,     6.00770,     6.00892,     6.00770,     6.00892
01/01/2022 02:10:00,                7740,     6.03105,     6.03226,     6.03105,     6.03226
01/01/2022 02:11:00,                7800,     6.05440,     6.05560,     6.05440,     6.05560
01/01/2022 02:12:00,                7860,     6.07774,     6.07894,     6.07775,     6.07894
01/01/2022 02:13:00,                7920,     6.10109,     6.10228,     6.10110,     6.10228
